project_cnt,success_usd_pledged_real,success_usd_goal_real,success_cnt,year_launched,main_category_group,state,country,usd_pledged_real,usd_goal_real
77,3107432.13,1006480.3,77,2017,Games & Technology,successful,HK,3107432.13,1006480.3
203,0,0,0,2016,"Arts, Crafts & Phography",failed,DE,91646.84,1532105.26
22,97318.69,68625.5,22,2015,"Arts, Crafts & Phography",successful,ES,97318.69,68625.5
9,242794.07,107510.95,9,2017,Design,successful,NO,242794.07,107510.95
4,53164.58,36600.35,4,2012,Food,successful,GB,53164.58,36600.35
61,0,0,0,2017,Games & Technology,failed,HK,128272.06,3481804.71
14,540329.95,214990.87,14,2016,Food,successful,DE,540329.95,214990.87
30,105619.74,40394.5,30,2015,"Arts, Crafts & Phography",successful,DK,105619.74,40394.5
108,4931867.33,1787227.23,108,2017,Games & Technology,successful,DE,4931867.33,1787227.23
859,0,0,0,2016,"Film, Video & Journalism",failed,GB,695811.59,20247938.9
93,0,0,0,2017,Comics & Publishing,failed,MX,16896.72,1019575.11
31,0,0,0,2016,"Arts, Crafts & Phography",failed,DK,5300.04,279730.42
36,0,0,0,2016,Design,failed,AT,68695.68,487251.15
15,0,0,0,2017,"Dance, Music & Theater",failed,NL,3420.67,162002.86
32,649963.43,439283.01,32,2012,Design,successful,GB,649963.43,439283.01
4,0,0,0,2015,Design,failed,LU,2297.84,43820.85
2,8454.7,8299.16,2,2017,Food,successful,NO,8454.7,8299.16
37,0,0,0,2017,Fashion,failed,MX,17883.32,182513.28
126,1999853.51,766803.15,126,2016,Design,successful,DE,1999853.51,766803.15
32,0,0,0,2015,Design,failed,IE,76191.27,531846.16
38,0,0,0,2017,Games & Technology,failed,SG,155341.84,1788247.22
78,0,0,0,2014,Comics & Publishing,failed,NZ,26141.04,307361.13
8,55052.41,29607.32,8,2013,Games & Technology,successful,NZ,55052.41,29607.32
9,0,0,0,2017,"Film, Video & Journalism",failed,CH,9174.93,51919942.46
31,0,0,0,2016,"Film, Video & Journalism",failed,IE,6234.1,538998.42
3269,0,0,0,2016,Fashion,failed,US,1585328.18,37510898
138,2552752.12,874455.08,138,2014,Games & Technology,successful,AU,2552752.12,874455.08
4,58646.61,52683.13,4,2017,Food,successful,CH,58646.61,52683.13
111,558701.47,287279.38,111,2016,"Arts, Crafts & Phography",successful,AU,558701.47,287279.38
41,279502.51,240021.53,41,2017,"Dance, Music & Theater",successful,AU,279502.51,240021.53
34,0,0,0,2016,"Film, Video & Journalism",failed,AT,22171.84,378968.66
18,0,0,0,2013,"Dance, Music & Theater",failed,AU,12380.07,105382.21
187,0,0,0,2017,Games & Technology,failed,FR,383806.97,7464784.91
48,0,0,0,2015,Comics & Publishing,failed,DK,8435.78,193743.66
242,0,0,0,2010,Food,failed,US,154189.32,1142301
11,426009.92,242868.89,11,2017,Games & Technology,successful,BE,426009.92,242868.89
4,6086.3,3343.69,4,2015,"Arts, Crafts & Phography",successful,LU,6086.3,3343.69
876,0,0,0,2013,Games & Technology,failed,GB,2453029.42,53208236.03
5,4382.2,3622.54,5,2016,"Arts, Crafts & Phography",successful,SG,4382.2,3622.54
5,26087.63,22465.38,5,2017,"Dance, Music & Theater",successful,SG,26087.63,22465.38
70,807981.03,335035.61,70,2015,Games & Technology,successful,SE,807981.03,335035.61
18,0,0,0,2015,Design,failed,NO,9467.83,164126.51
5874,0,0,0,2011,"Dance, Music & Theater",failed,US,1689919.88,23178851.75
34,0,0,0,2012,Fashion,failed,GB,5166.05,158862.28
327,5955588.94,1730765.69,327,2016,Games & Technology,successful,CA,5955588.94,1730765.69
6,73167.79,58142.2,6,2015,Design,successful,AT,73167.79,58142.2
260,762928.79,563999.84,260,2014,"Arts, Crafts & Phography",successful,CA,762928.79,563999.84
33,499660.31,367002.38,33,2017,Fashion,successful,FR,499660.31,367002.38
28,4085630.76,1124645.66,28,2017,Design,successful,CH,4085630.76,1124645.66
166,0,0,0,2015,Comics & Publishing,failed,DE,43359.12,2952600.44
2,3894.74,1782.36,2,2017,"Arts, Crafts & Phography",successful,NO,3894.74,1782.36
17,34144.19,32065.62,17,2016,"Dance, Music & Theater",successful,NO,34144.19,32065.62
